Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0250"
"0.0200","0.0000","0.0249"
"0.0400","0.0000","0.0250"
"0.0600","0.0000","0.0250"
"0.0800","0.0000","0.0250"
"0.1000","0.0000","0.0250"
"0.1200","0.0000","0.0250"
"0.1400","0.0002","0.0250"
"0.1600","0.0004","0.0250"
"0.1800","0.0006","0.0250"
"0.2000","0.0008","0.0250"
"0.2200","0.0012","0.0250"
"0.2400","0.0015","0.0250"
"0.2600","0.0020","0.0250"
"0.2800","0.0026","0.0250"
"0.3000","0.0033","0.0250"
"0.3200","0.0040","0.0250"
"0.3400","0.0048","0.0250"
"0.3600","0.0058","0.0250"
"0.3800","0.0066","0.0250"
"0.4000","0.0074","0.0250"
"0.4200","0.0081","0.0250"
"0.4400","0.0089","0.0250"
"0.4600","0.0094","0.0250"
"0.4800","0.0100","0.0250"
"0.5000","0.0105","0.0250"
"0.5200","0.0110","0.0250"
"0.5400","0.0115","0.0250"
"0.5600","0.0119","0.0250"
"0.5800","0.0123","0.0250"
"0.6000","0.0127","0.0250"
"0.6200","0.0131","0.0250"
"0.6400","0.0136","0.0250"
"0.6600","0.0140","0.0250"
"0.6800","0.0145","0.0250"
"0.7000","0.0150","0.0250"
"0.7200","0.0155","0.0250"
"0.7400","0.0159","0.0250"
"0.7600","0.0163","0.0250"
"0.7800","0.0166","0.0250"
"0.8000","0.0171","0.0250"
"0.8200","0.0176","0.0250"
"0.8400","0.0181","0.0250"
"0.8600","0.0185","0.0250"
"0.8800","0.0190","0.0250"
"0.9000","0.0194","0.0250"
"0.9200","0.0198","0.0250"
"0.9400","0.0203","0.0250"
"0.9600","0.0208","0.0250"
"0.9800","0.0211","0.0250"
"1.0000","0.0215","0.0250"
"1.0200","0.0220","0.0250"
"1.0400","0.0224","0.0250"
"1.0600","0.0228","0.0250"
"1.0800","0.0231","0.0250"
"1.1000","0.0235","0.0250"
"1.1200","0.0240","0.0250"
"1.1400","0.0244","0.0250"
"1.1600","0.0249","0.0250"
"1.1800","0.0254","0.0250"
"1.2000","0.0259","0.0250"
"1.2200","0.0263","0.0250"
