Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0249"
"0.0200","0.0000","0.0249"
"0.0400","0.0000","0.0249"
"0.0600","0.0000","0.0249"
"0.0800","0.0000","0.0249"
"0.1000","0.0000","0.0249"
"0.1200","0.0002","0.0249"
"0.1400","0.0004","0.0249"
"0.1600","0.0006","0.0250"
"0.1800","0.0008","0.0249"
"0.2000","0.0012","0.0249"
"0.2200","0.0015","0.0249"
"0.2400","0.0020","0.0249"
"0.2600","0.0027","0.0249"
"0.2800","0.0034","0.0249"
"0.3000","0.0043","0.0249"
"0.3200","0.0052","0.0249"
"0.3400","0.0061","0.0249"
"0.3600","0.0071","0.0249"
"0.3800","0.0080","0.0249"
"0.4000","0.0090","0.0249"
"0.4200","0.0098","0.0249"
"0.4400","0.0106","0.0249"
"0.4600","0.0113","0.0249"
"0.4800","0.0119","0.0249"
"0.5000","0.0124","0.0249"
"0.5200","0.0129","0.0249"
"0.5400","0.0133","0.0249"
"0.5600","0.0139","0.0249"
"0.5800","0.0144","0.0249"
"0.6000","0.0149","0.0249"
"0.6200","0.0153","0.0249"
"0.6400","0.0158","0.0249"
"0.6600","0.0163","0.0249"
"0.6800","0.0168","0.0249"
"0.7000","0.0172","0.0249"
"0.7200","0.0177","0.0249"
"0.7400","0.0183","0.0249"
"0.7600","0.0187","0.0249"
"0.7800","0.0191","0.0249"
"0.8000","0.0196","0.0249"
"0.8200","0.0202","0.0249"
"0.8400","0.0207","0.0249"
"0.8600","0.0213","0.0249"
"0.8800","0.0217","0.0249"
"0.9000","0.0222","0.0249"
"0.9200","0.0225","0.0249"
"0.9400","0.0230","0.0249"
"0.9600","0.0236","0.0249"
"0.9800","0.0241","0.0249"
"1.0000","0.0247","0.0249"
"1.0200","0.0253","0.0249"
"1.0400","0.0257","0.0249"
"1.0600","0.0263","0.0249"
"1.0800","0.0268","0.0249"
"1.1000","0.0273","0.0249"
"1.1200","0.0277","0.0249"
"1.1400","0.0282","0.0249"
"1.1600","0.0287","0.0249"
"1.1800","0.0292","0.0249"
"1.2000","0.0296","0.0250"
"1.2200","0.0301","0.0249"
"1.2400","0.0307","0.0249"
"1.2600","0.0313","0.0249"
"1.2800","0.0318","0.0249"
"1.3000","0.0322","0.0249"
"1.3200","0.0328","0.0249"
"1.3400","0.0333","0.0249"
"1.3600","0.0338","0.0249"
"1.3800","0.0344","0.0249"
"1.4000","0.0348","0.0249"
"1.4200","0.0353","0.0249"
"1.4400","0.0358","0.0249"
"1.4600","0.0362","0.0249"
"1.4800","0.0367","0.0249"
"1.5000","0.0372","0.0250"
"1.5200","0.0377","0.0249"
"1.5400","0.0382","0.0249"
"1.5600","0.0387","0.0249"
"1.5800","0.0392","0.0249"
"1.6000","0.0397","0.0249"
"1.6200","0.0403","0.0249"
"1.6400","0.0407","0.0249"
"1.6600","0.0412","0.0249"
"1.6800","0.0417","0.0249"
"1.7000","0.0421","0.0249"
"1.7200","0.0427","0.0249"
"1.7400","0.0432","0.0249"
"1.7600","0.0438","0.0249"
"1.7800","0.0444","0.0249"
"1.8000","0.0447","0.0249"
"1.8200","0.0452","0.0249"
"1.8400","0.0457","0.0249"
"1.8600","0.0463","0.0250"
"1.8800","0.0469","0.0249"
"1.9000","0.0475","0.0249"
"1.9200","0.0479","0.0249"
"1.9400","0.0485","0.0249"
"1.9600","0.0491","0.0249"
"1.9800","0.0496","0.0249"
"2.0000","0.0502","0.0249"
"2.0200","0.0506","0.0249"
"2.0400","0.0511","0.0249"
"2.0600","0.0515","0.0249"
"2.0800","0.0518","0.0249"
"2.1000","0.0523","0.0249"
"2.1200","0.0528","0.0249"
"2.1400","0.0534","0.0249"
"2.1600","0.0538","0.0249"
"2.1800","0.0544","0.0249"
"2.2000","0.0550","0.0249"
"2.2200","0.0555","0.0249"
"2.2400","0.0561","0.0249"
"2.2600","0.0567","0.0249"
"2.2800","0.0571","0.0249"
"2.3000","0.0576","0.0249"
"2.3200","0.0581","0.0249"
"2.3400","0.0586","0.0249"
"2.3600","0.0590","0.0249"
"2.3800","0.0595","0.0249"
"2.4000","0.0600","0.0249"
"2.4200","0.0606","0.0249"
"2.4400","0.0610","0.0249"
"2.4600","0.0615","0.0249"
"2.4800","0.0620","0.0250"
"2.5000","0.0625","0.0249"
"2.5200","0.0629","0.0249"
"2.5400","0.0634","0.0249"
"2.5600","0.0639","0.0249"
"2.5800","0.0643","0.0249"
"2.6000","0.0648","0.0249"
"2.6200","0.0653","0.0249"
"2.6400","0.0659","0.0249"
"2.6600","0.0663","0.0249"
"2.6800","0.0669","0.0249"
"2.7000","0.0673","0.0249"
"2.7200","0.0678","0.0249"
"2.7400","0.0682","0.0249"
"2.7600","0.0687","0.0249"
"2.7800","0.0693","0.0249"
"2.8000","0.0699","0.0249"
"2.8200","0.0705","0.0249"
"2.8400","0.0711","0.0249"
"2.8600","0.0715","0.0249"
"2.8800","0.0721","0.0249"
"2.9000","0.0727","0.0249"
"2.9200","0.0732","0.0249"
"2.9400","0.0735","0.0249"
"2.9600","0.0740","0.0249"
"2.9800","0.0745","0.0249"
"3.0000","0.0750","0.0249"
"3.0200","0.0756","0.0249"
"3.0400","0.0760","0.0249"
"3.0600","0.0766","0.0249"
"3.0800","0.0772","0.0249"
"3.1000","0.0778","0.0249"
"3.1200","0.0783","0.0249"
"3.1400","0.0787","0.0249"
"3.1600","0.0792","0.0249"
"3.1800","0.0797","0.0249"
"3.2000","0.0802","0.0249"
"3.2200","0.0805","0.0249"
"3.2400","0.0810","0.0249"
"3.2600","0.0815","0.0249"
"3.2800","0.0819","0.0249"
"3.3000","0.0824","0.0249"
"3.3200","0.0829","0.0249"
"3.3400","0.0833","0.0249"
"3.3600","0.0839","0.0249"
"3.3800","0.0844","0.0249"
"3.4000","0.0849","0.0249"
"3.4200","0.0854","0.0249"
"3.4400","0.0858","0.0249"
"3.4600","0.0863","0.0249"
"3.4800","0.0868","0.0249"
"3.5000","0.0872","0.0249"
"3.5200","0.0878","0.0249"
"3.5400","0.0884","0.0249"
"3.5600","0.0889","0.0249"
"3.5800","0.0895","0.0249"
"3.6000","0.0898","0.0249"
"3.6200","0.0903","0.0249"
"3.6400","0.0908","0.0249"
"3.6600","0.0913","0.0249"
"3.6800","0.0918","0.0249"
"3.7000","0.0924","0.0249"
"3.7200","0.0929","0.0250"
"3.7400","0.0935","0.0250"
"3.7600","0.0940","0.0249"
"3.7800","0.0946","0.0249"
"3.8000","0.0950","0.0249"
"3.8200","0.0955","0.0249"
"3.8400","0.0960","0.0249"
"3.8600","0.0965","0.0249"
"3.8800","0.0968","0.0249"
"3.9000","0.0973","0.0249"
"3.9200","0.0978","0.0249"
"3.9400","0.0982","0.0249"
"3.9600","0.0988","0.0249"
"3.9800","0.0994","0.0249"
"4.0000","0.1000","0.0249"
"4.0200","0.1005","0.0249"
"4.0400","0.1011","0.0249"
"4.0600","0.1015","0.0249"
"4.0800","0.1020","0.0249"
"4.1000","0.1026","0.0249"
"4.1200","0.1031","0.0249"
"4.1400","0.1035","0.0249"
"4.1600","0.1040","0.0249"
"4.1800","0.1045","0.0249"
"4.2000","0.1050","0.0249"
"4.2200","0.1054","0.0249"
"4.2400","0.1058","0.0249"
"4.2600","0.1064","0.0249"
"4.2800","0.1068","0.0249"
"4.3000","0.1073","0.0249"
"4.3200","0.1078","0.0249"
"4.3400","0.1084","0.0249"
"4.3600","0.1088","0.0249"
"4.3800","0.1093","0.0249"
"4.4000","0.1098","0.0249"
"4.4200","0.1103","0.0249"
"4.4400","0.1107","0.0249"
"4.4600","0.1113","0.0250"
"4.4800","0.1118","0.0249"
"4.5000","0.1123","0.0249"
"4.5200","0.1127","0.0249"
"4.5400","0.1132","0.0249"
"4.5600","0.1137","0.0249"
"4.5800","0.1143","0.0249"
"4.6000","0.1149","0.0249"
"4.6200","0.1155","0.0250"
"4.6400","0.1160","0.0249"
"4.6600","0.1165","0.0249"
"4.6800","0.1171","0.0249"
"4.7000","0.1176","0.0249"
"4.7200","0.1181","0.0249"
"4.7400","0.1185","0.0249"
"4.7600","0.1189","0.0249"
"4.7800","0.1194","0.0249"
"4.8000","0.1198","0.0249"
"4.8200","0.1204","0.0249"
"4.8400","0.1209","0.0249"
"4.8600","0.1215","0.0249"
"4.8800","0.1221","0.0249"
"4.9000","0.1227","0.0249"
"4.9200","0.1231","0.0249"
