Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0250"
"0.0200","0.0000","0.0249"
"0.0400","0.0000","0.0249"
"0.0600","0.0000","0.0250"
"0.0800","0.0002","0.0250"
"0.1000","0.0002","0.0250"
"0.1200","0.0002","0.0250"
"0.1400","0.0004","0.0249"
"0.1600","0.0005","0.0250"
"0.1800","0.0009","0.0250"
"0.2000","0.0018","0.0250"
"0.2200","0.0030","0.0250"
"0.2400","0.0043","0.0250"
"0.2600","0.0055","0.0249"
"0.2800","0.0066","0.0249"
"0.3000","0.0074","0.0249"
"0.3200","0.0081","0.0249"
"0.3400","0.0086","0.0250"
"0.3600","0.0091","0.0250"
"0.3800","0.0096","0.0250"
"0.4000","0.0100","0.0249"
"0.4200","0.0104","0.0250"
"0.4400","0.0109","0.0250"
"0.4600","0.0113","0.0250"
"0.4800","0.0118","0.0250"
"0.5000","0.0123","0.0250"
"0.5200","0.0127","0.0250"
"0.5400","0.0133","0.0250"
"0.5600","0.0138","0.0250"
"0.5800","0.0144","0.0250"
"0.6000","0.0149","0.0250"
"0.6200","0.0155","0.0250"
"0.6400","0.0159","0.0250"
"0.6600","0.0164","0.0250"
"0.6800","0.0169","0.0250"
"0.7000","0.0174","0.0250"
"0.7200","0.0179","0.0249"
"0.7400","0.0184","0.0250"
"0.7600","0.0190","0.0250"
"0.7800","0.0196","0.0249"
"0.8000","0.0201","0.0250"
"0.8200","0.0205","0.0250"
"0.8400","0.0211","0.0250"
"0.8600","0.0216","0.0249"
"0.8800","0.0221","0.0250"
"0.9000","0.0225","0.0250"
"0.9200","0.0230","0.0250"
"0.9400","0.0234","0.0250"
"0.9600","0.0238","0.0250"
"0.9800","0.0243","0.0250"
"1.0000","0.0249","0.0250"
"1.0200","0.0254","0.0250"
"1.0400","0.0260","0.0250"
"1.0600","0.0266","0.0250"
"1.0800","0.0270","0.0250"
"1.1000","0.0275","0.0250"
"1.1200","0.0281","0.0250"
"1.1400","0.0286","0.0250"
"1.1600","0.0292","0.0250"
"1.1800","0.0296","0.0250"
"1.2000","0.0301","0.0250"
"1.2200","0.0306","0.0250"
